n,index,recall,upload_s,index_s,p50_ms,p90_ms,p95_ms,p99_ms,mean_ms,qps_1client
10000,bf,1.0,21.53,,8.449,53.85,55.706,59.11,19.758,50.6
10000,bf,1.0,107.21,,69.857,164.209,231.032,317.368,80.967,12.4
