n,dim,mode,srv_p50_ms,srv_p95_ms,srv_p99_ms
1000,1536,fp32,0.218,0.257,0.280
5000,1536,fp32,0.429,0.476,0.518
10000,1536,fp32,0.697,0.745,0.788
50000,1536,fp32,9.349,9.731,53.712
100000,1536,fp32,18.422,18.705,26.625
250000,1536,fp32,45.775,50.880,60.637
500000,1536,fp32,95.975,97.758,110.536
1000000,1536,fp32,192.745,229.406,281.389
1000,1536,bq,0.185,0.210,0.230
5000,1536,bq,0.218,0.253,0.280
10000,1536,bq,0.251,0.287,0.323
