n,dim,mode,upload_s,req_p50,req_p95,req_p99,srv_p50,srv_p95,srv_p99,rps
5000000,256,fp32,54.62,1.8430097,2.326114,7.9188366,1.8392646,2.3229923,7.8259244,4.270191
5000000,256,bq,53.73,0.27329764,0.33650818,0.38634428,0.2701355,0.332777,0.38332695,31.996073
