n,index,recall,upload_s,index_s,p50_ms,p90_ms,p95_ms,p99_ms,mean_ms,qps_1client
100000,bf,1.0,144.97,,37.048,58.115,66.406,97.086,41.083,24.3
100000,hnsw,0.9732,124.8,66.33,7.88,52.405,57.057,64.051,18.371,54.4
