n,dim,mode,upload_s,req_p50,req_p95,req_p99,srv_p50,srv_p95,srv_p99,rps
2000000,256,fp32,23.19,0.47793964,0.5834531,0.65132755,0.47474927,0.57983017,0.64704865,16.719248
2000000,256,bq,23.78,0.19066848,0.24256846,0.2673391,0.18693613,0.23917839,0.2642482,43.768158
5000000,256,fp32,54.41,0.79867816,0.9101106,4.2073736,0.79483634,0.9069283,4.133188,9.567257
5000000,256,bq,54.79,0.27933696,0.3174218,2.22895,0.27581406,0.3110456,2.1609075,21.897667
10000000,256,fp32,106.14,1.1821603,1.4560807,6.0531287,1.1780294,1.452482,5.972663,6.6051936
10000000,256,bq,106.45,0.47025004,0.53323734,4.152113,0.46658263,0.5296316,4.119141,14.145435
